Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P4/2000,SKATE MITH SHOE FEATDRE,,2000-02-05,There are no classifications,,,,2000-02-05,5
P16/2000,A barbecue,,2000-03-21,There are no classifications,,,,2000-03-21,5
P13/2000,IMPROVEMENT ON HINGE OF COSMETIC CASE,,2000-03-11,There are no classifications,,,,2000-03-11,5
P12/2000,RING SECTION FURNACE DEVICE,,2000-03-08,There are no classifications,,,,2000-03-08,5
P24/2000,Security and protection,,2000-04-23,There are no classifications,,,,2000-04-23,5
P25/2000,Accessory Structure for vehicle air-conditioner,,2000-04-24,There are no classifications,,,,2000-04-24,5
P27/2000,INTRODUCTION OF TANK EXHAUST SYSTEM,,2000-04-30,There are no classifications,,,,2000-04-30,5
P39/2000,THE MEGNATICAL ENGINE,,2000-05-27,There are no classifications,,,,2000-05-27,5
P36/2000,Label Roll Core Holder Associated System and Label Regulating Guide in labeler,,2000-05-21,B41J 11/26,,,,2000-05-21,5
P34/2000,Method and device for moving and lighting the flags of states by electric power,,2000-05-21,There are no classifications,,,,2000-05-21,5
P38/2000,"SELF-SUPPORTING, MODULAR, PREFABRICATED RADIATING PANELMETHODS FOR ITS PRODUCTION AND RADIATING SURFACE OBTAINED",,2000-05-22,There are no classifications,,,,2000-05-22,5
P31/2000,E x p a n s 1 o n  j o 1 n t 1 n c o n c r e t e c o n s t r u c t 1 o n s,,2000-05-09,There are no classifications,,,,2000-05-09,5
P32/2000,Process for Retrofit Unit for Upgrading a Natural Gas Plant,,2000-05-09,There are no classifications,,,,2000-05-09,5
P33/2000,A way to protect cars from the sun,,2000-05-21,There are no classifications,,,,2000-05-21,5
P41/2000,GET RID OF REFUSES,,2000-06-05,There are no classifications,,,,2000-06-05,5
P51/2000,Encapsulation of of Hazardous Waste Materials,,2000-07-01,There are no classifications,,,,2000-07-01,5
P42/2000,THE PECULIAR SHOE,,2000-06-05,There are no classifications,,,,2000-06-05,5
P43/2000,EXPLOITE VEHICLE`S EXHAUST FOR GETTING ELECTRICITY FROM GENERATORS,,2000-06-05,There are no classifications,,,,2000-06-05,5
P47/2000,"FHOENICIA SHIP TO TEACH HOLDING THE PENCIL, ALPHABET AND WRITING",,2000-06-21,There are no classifications,,,,2000-06-21,5
P44/2000,PECULIAR COMMERCIAL INTRODUCTION CARD,,2000-06-05,There are no classifications,,,,2000-06-05,5
P56/2000,AN IMPROVED HAIR – DRYING APPARATUS .,,2000-07-15,There are no classifications,,,,2000-07-15,5
P55/2000,The way for everyone,,2000-07-08,There are no classifications,,,,2000-07-08,5
P53/2000,METHOD AND DEVICE FOR DETCTING AND MONITORING CONCEALED BODIES AND OBJECTS,,2000-07-03,There are no classifications,,,,2000-07-03,5
P51/2000,Encapsulation of of Hazardous Waste Materials,,2000-07-01,There are no classifications,,,,2000-07-01,5
P57/2000,FILTERING LUBRICATING OILS REMOVE HAZE PRECURSORS.,,2000-07-15,There are no classifications,,,,2000-07-15,5
P65/2000,Strip Casting Apparatus,,2000-08-05,There are no classifications,,,,2000-08-05,5
P63/2000,Casting metal Strip,,2000-08-05,B22D 11/20,,,,2000-08-05,5
P64/2000,Casting Steel Strip,,2000-08-05,B22D 11/00,,,,2000-08-05,5
P67/2000,A color cable and a method for manufacturing it,,2000-08-08,There are no classifications,,,,2000-08-08,5
P75/2000,"CATALYSTS FOR USE IN HYDROCARBON CONVERSITON REACTIONS AND CONTINING ONE DOPING METAL CHOSEN FROM THE GROUP CONSISTING OF TITANIUM , ZIRCONIUM, HAFNIUM, COBALT, NICKEL, ZINC, THD LANTHANIDES AND ALKALI AND ALKALINE EARTH METALS.",,2000-09-09,There are no classifications,,,,2000-09-09,5
P76/2000,CATALYSTS WHICH CAN BE USED IN CONVERSION REACTIONS OF,,2000-09-09,There are no classifications,,,,2000-09-09,5
P81/2000,Wheel tire extrusion,,2000-09-11,There are no classifications,,,,2000-09-11,5
P80/2000,MU LTI RING BALL BEARTNG  MRBB.,,2000-09-11,There are no classifications,,,,2000-09-11,5
P77/2000,PROCESS FOR CATALYTIC CONVERSION OF HYDROCARBONS INTO AROMATIC COMPOUNDS WITH ACATALYST CONTATNING SILICON.,,2000-09-09,There are no classifications,,,,2000-09-09,5
P83/2000,CONTAINER,,2000-09-13,There are no classifications,,,,2000-09-13,5
P89/2000,Fire fighting mini vehicle using spray process,,2000-09-19,There are no classifications,,,,2000-09-19,5
P74/2000,"PROCESS FOR THE CATALYTIC CONVDRSION OF HVDROCAKRBONS INTO KROMATICB USING A CATALYBT CONTAINING ATLEAST ONE DOPING METAL CHOSEN FROM THE GROUP CONSISTING OF TITANIUM , ZIRCONIUM, HAFNIUM, COBALT, NICKEL, ZINC, AND/OR THD LANTHANIDES.",,2000-09-09,There are no classifications,,,,2000-09-09,5
P96/2000,MANAR AL EMARAT,,2000-10-01,There are no classifications,,,,2000-10-01,5
P73/2000,PROCESS FOR THE CATALYTIC CONVERSION OF HYDROCARBONS INTO AROMATIC COMPOUNDS USING A CATALYST CONTAINING ALKALI OR ALKALINE-EARTH METALS.,,2000-09-09,There are no classifications,,,,2000-09-09,5
P96/2000,MANAR AL EMARAT,,2000-10-01,There are no classifications,,,,2000-10-01,5
P98/2000,ARMOR PROTECTION OF LIGHTLY-ARMORED MILITARY FACILITIES,,2000-10-03,There are no classifications,,,,2000-10-03,5
P104/2000,Cooling Apparatus with Serew Engine produces Electricity,,2000-10-14,There are no classifications,,,,2000-10-14,5
P107/2000,Cooling Apparatus produces Electricity,,2000-10-15,There are no classifications,,,,2000-10-15,5
